
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.12.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
__module.model.layers.12.mlp.gate_proj/ov_ext::linear/MatMul                                                  6.953
__module.model.layers.12.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.12.mlp.up_proj/ov_ext::linear/MatMul                                                    6.410
__module.model.layers.12.mlp/aten::mul/Multiply                                                               0.245
__module.model.layers.12.mlp.down_proj/ov_ext::linear/MatMul                                                  9.127
__module.model.layers.12/aten::add/Add_1                                                                      0.059
__module.model.layers.13.input_layernorm/aten::mul/Multiply_1                                                 0.045
__module.model.layers.13.self_attn.q_proj/ov_ext::linear/MatMul                                               1.826
__module.model.layers.13.self_attn/aten::view/Reshape                                                         0.000
__module.model.layers.13.self_attn/aten::add/Add                                                              0.094
__module.model.layers.13.self_attn.k_proj/ov_ext::linear/MatMul                                               0.474
__module.model.layers.13.self_attn/aten::view/Reshape_1                                                       0.000
__module.model.layers.13.self_attn/aten::add/Add_1                                                            0.025
__module.model.layers.13.self_attn.v_proj/ov_ext::linear/MatMul                                               0.464
__module.model.layers.13.self_attn/aten::view/Reshape_2                                                       0.000
__module.model.layers.13.self_attn/aten::transpose/Transpose_2                                                0.010
__module.model.layers.13.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.904
__module.model.layers.13.self_attn/aten::transpose/Transpose_3                                                0.040
__module.model.layers.13.self_attn/aten::reshape/Reshape_2                                                    0.000
__module.model.layers.13.self_attn.o_proj/ov_ext::linear/MatMul                                               1.611
__module.model.layers.13/aten::add/Add                                                                        0.045
__module.model.layers.13.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
__module.model.layers.13.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.179
__module.model.layers.13.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.13.mlp.up_proj/ov_ext::linear/MatMul                                                    6.566
__module.model.layers.13.mlp/aten::mul/Multiply                                                               0.247
__module.model.layers.13.mlp.down_proj/ov_ext::linear/MatMul                                                  9.611
__module.model.layers.13/aten::add/Add_1                                                                      0.128
__module.model.layers.14.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.14.self_attn.q_proj/ov_ext::linear/MatMul                                               1.877
__module.model.layers.14.self_attn/aten::view/Reshape                                                         0.001
__module.model.layers.14.self_attn/aten::add/Add                                                              0.160
__module.model.layers.14.self_attn.k_proj/ov_ext::linear/MatMul                                               0.504
__module.model.layers.14.self_attn/aten::view/Reshape_1                                                       0.000
__module.model.layers.14.self_attn/aten::add/Add_1                                                            0.039
__module.model.layers.14.self_attn.v_proj/ov_ext::linear/MatMul                                               0.456
__module.model.layers.14.self_attn/aten::view/Reshape_2                                                       0.000
__module.model.layers.14.self_attn/aten::transpose/Transpose_2                                                0.031
__module.model.layers.14.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               1.153
__module.model.layers.14.self_attn/aten::transpose/Transpose_3                                                0.092
__module.model.layers.14.self_attn/aten::reshape/Reshape_2                                                    0.000
__module.model.layers.14.self_attn.o_proj/ov_ext::linear/MatMul                                               1.600
__module.model.layers.14/aten::add/Add                                                                        0.045
__module.model.layers.14.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
