
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
Convert_44128                                                                                                 0.068
__module.model.layers.3.self_attn/aten::add/Add/fc_output_0                                                   0.067
Multiply_31343                                                                                                0.000
Gather_49769                                                                                                  0.006
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.394
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.3.self_attn/aten::cat/Concat_2                                                          0.016
Multiply_44133                                                                                                0.022
Clamp_44135                                                                                                   0.000
Convert_44136                                                                                                 0.020
Convert_44137                                                                                                 0.022
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.022
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
Broadcast_36531                                                                                               0.047
Broadcast_36531_f32_bf16___module.model.layers.3.self_attn/aten::expand/Broadcast                             0.055
__module.model.layers.3.self_attn/aten::expand/Broadcast                                                      0.072
__module.model.layers.3.self_attn/aten::reshape/Reshape                                                       0.008
MatMul_31344                                                                                                  0.143
Add_31346                                                                                                     0.107
Softmax_31347                                                                                                 0.361
Gather_49772                                                                                                  0.008
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.379
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.009
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.023
__module.model.layers.3.self_attn/aten::cat/Concat_3                                                          0.016
Multiply_44142                                                                                                0.023
Clamp_44144                                                                                                   0.000
Convert_44145                                                                                                 0.019
Convert_44146                                                                                                 0.020
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.020
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_36537                                                                                               0.049
Broadcast_36537_f32_bf16___module.model.layers.3.self_attn/aten::expand/Broadcast_1                           0.053
__module.model.layers.3.self_attn/aten::expand/Broadcast_1                                                    0.071
__module.model.layers.3.self_attn/aten::reshape/Reshape_1                                                     0.007
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.133
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.039
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.3.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.050
Multiply_44151                                                                                                0.000
Clamp_44153                                                                                                   0.000
Convert_44154                                                                                                 0.060
Convert_44155                                                                                                 0.067
__module.model.layers.3.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fc_output_0                   0.045
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.291
__module.model.layers.3/aten::add/Add                                                                         0.055
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.048
Multiply_44160                                                                                                0.045
Clamp_44162                                                                                                   0.000
Convert_44163                                                                                                 0.057
Convert_44164                                                                                                 0.061
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0          0.048
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   5.505
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     5.295
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.288
__module.model.layers.3.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
Multiply_44169                                                                                                0.000
Clamp_44171                                                                                                   0.000
Convert_44172                                                                                                 0.213
Convert_44173                                                                                                 0.235
__module.model.layers.3.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fc_output_0                              0.225
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   7.947
__module.model.layers.3/aten::add/Add_1                                                                       0.058
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.052
Multiply_44178                                                                                                0.050
Clamp_44180                                                                                                   0.000
Convert_44181                                                                                                 0.059
Convert_44182                                                                                                 0.064
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0                0.045
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                3.183
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.4.self_attn/aten::add/Add                                                               0.096
Multiply_44187                                                                                                0.077
Clamp_44189                                                                                                   0.000
Convert_44190                                                                                                 0.060
Convert_44191                                                                                                 0.065
__module.model.layers.4.self_attn/aten::add/Add/fc_output_0                                                   0.068
Multiply_31378                                                                                                0.000
Gather_49775                                                                                                  0.006
