
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.7.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.7.mlp.up_proj/ov_ext::linear/MatMul                                                     8.385
__module.model.layers.7.mlp/aten::mul/Multiply                                                                0.214
__module.model.layers.7.mlp.down_proj/ov_ext::linear/MatMul                                                  10.626
__module.model.layers.7/aten::add/Add_1                                                                       0.067
__module.model.layers.8.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.8.self_attn.q_proj/ov_ext::linear/MatMul                                                1.989
__module.model.layers.8.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.8.self_attn/aten::add/Add                                                               0.089
__module.model.layers.8.self_attn.k_proj/ov_ext::linear/MatMul                                                0.472
__module.model.layers.8.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.8.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.8.self_attn.v_proj/ov_ext::linear/MatMul                                                0.464
__module.model.layers.8.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.8.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.8.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.875
__module.model.layers.8.self_attn/aten::transpose/Transpose_3                                                 0.044
__module.model.layers.8.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.8.self_attn.o_proj/ov_ext::linear/MatMul                                                1.887
__module.model.layers.8/aten::add/Add                                                                         0.050
__module.model.layers.8.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.8.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.049
__module.model.layers.8.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.8.mlp.up_proj/ov_ext::linear/MatMul                                                     8.540
__module.model.layers.8.mlp/aten::mul/Multiply                                                                0.223
__module.model.layers.8.mlp.down_proj/ov_ext::linear/MatMul                                                   9.752
__module.model.layers.8/aten::add/Add_1                                                                       0.065
__module.model.layers.9.input_layernorm/aten::mul/Multiply_1                                                  0.056
__module.model.layers.9.self_attn.q_proj/ov_ext::linear/MatMul                                                1.980
__module.model.layers.9.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.9.self_attn/aten::add/Add                                                               0.091
